filename,person_id,life_line,heart_line,head_line,fate_line,tinh_duyen,cong_viec,suc_khoe,tai_chinh,tuong_lai,kiep_truoc,kiep_sau,fortune_class
015_IMG__ (2).JPG,015,0,2,1,2,2,2,1,2,1,2,1,0
015_IMG__ (3).JPG,015,0,2,1,2,2,2,1,2,1,2,1,0
017_IMG__ (1).JPG,017,2,0,0,0,1,0,2,1,0,0,0,1
017_IMG__ (2).JPG,017,2,0,0,0,1,0,2,1,0,0,0,1
017_IMG__ (3).jpg,017,2,0,0,0,1,0,2,1,0,0,0,1
018_IMG__ (1).JPG,018,0,2,1,2,2,2,1,2,1,2,1,2
018_IMG__ (2).JPG,018,0,2,1,2,2,2,1,2,1,2,1,2
018_IMG__ (3).JPG,018,0,2,1,2,2,2,1,2,1,2,1,2
019_IMG__ (1).JPG,019,1,1,2,1,0,1,0,0,2,1,2,0
019_IMG__ (2).JPG,019,1,1,2,1,0,1,0,0,2,1,2,0
019_IMG__ (3).JPG,019,1,1,2,1,0,1,0,0,2,1,2,0
020_IMG__ (1).JPG,020,2,0,0,0,1,0,2,1,0,0,0,1
020_IMG__ (2).JPG,020,2,0,0,0,1,0,2,1,0,0,0,1
020_IMG__ (3).JPG,020,2,0,0,0,1,0,2,1,0,0,0,1
021_IMG__ (1).JPG,021,0,2,1,2,2,2,1,2,1,2,1,2
021_IMG__ (2).JPG,021,0,2,1,2,2,2,1,2,1,2,1,2
021_IMG__ (3).JPG,021,0,2,1,2,2,2,1,2,1,2,1,2
022_IMG__ (1).JPG,022,1,1,2,1,0,1,0,0,2,1,2,0
022_IMG__ (2).JPG,022,1,1,2,1,0,1,0,0,2,1,2,0
022_IMG__ (3).JPG,022,1,1,2,1,0,1,0,0,2,1,2,0
024_IMG__ (1).JPG,024,0,2,1,2,2,2,1,2,1,2,1,1
024_IMG__ (2).JPG,024,0,2,1,2,2,2,1,2,1,2,1,1
024_IMG__ (3).JPG,024,0,2,1,2,2,2,1,2,1,2,1,1
025_IMG__ (1).JPG,025,1,1,2,1,0,1,0,0,2,1,2,2
025_IMG__ (2).JPG,025,1,1,2,1,0,1,0,0,2,1,2,2
025_IMG__ (3).JPG,025,1,1,2,1,0,1,0,0,2,1,2,2
026_IMG__ (1).JPG,026,2,0,0,0,1,0,2,1,0,0,0,0
026_IMG__ (2).JPG,026,2,0,0,0,1,0,2,1,0,0,0,0
026_IMG__ (3).jpg,026,2,0,0,0,1,0,2,1,0,0,0,0
027_IMG__ (1).JPG,027,0,2,1,2,2,2,1,2,1,2,1,1
027_IMG__ (2).JPG,027,0,2,1,2,2,2,1,2,1,2,1,1
027_IMG__ (3).JPG,027,0,2,1,2,2,2,1,2,1,2,1,1
028_IMG__ (1).JPG,028,1,1,2,1,0,1,0,0,2,1,2,2
028_IMG__ (2).JPG,028,1,1,2,1,0,1,0,0,2,1,2,2
028_IMG__ (3).JPG,028,1,1,2,1,0,1,0,0,2,1,2,2
029_IMG__ (1).JPG,029,2,0,0,0,1,0,2,1,0,0,0,0
029_IMG__ (2).JPG,029,2,0,0,0,1,0,2,1,0,0,0,0
029_IMG__ (3).JPG,029,2,0,0,0,1,0,2,1,0,0,0,0
030_IMG__ (1).JPG,030,0,2,1,2,2,2,1,2,1,2,1,1
030_IMG__ (2).JPG,030,0,2,1,2,2,2,1,2,1,2,1,1
030_IMG__ (3).JPG,030,0,2,1,2,2,2,1,2,1,2,1,1
031_IMG__ (1).JPG,031,1,1,2,1,0,1,0,0,2,1,2,2
031_IMG__ (2).JPG,031,1,1,2,1,0,1,0,0,2,1,2,2
031_IMG__ (3).JPG,031,1,1,2,1,0,1,0,0,2,1,2,2
032_IMG__ (1).JPG,032,2,0,0,0,1,0,2,1,0,0,0,0
032_IMG__ (2).JPG,032,2,0,0,0,1,0,2,1,0,0,0,0
032_IMG__ (3).JPG,032,2,0,0,0,1,0,2,1,0,0,0,0
033_IMG__ (1).JPG,033,0,2,1,2,2,2,1,2,1,2,1,1
033_IMG__ (2).JPG,033,0,2,1,2,2,2,1,2,1,2,1,1
033_IMG__ (3).JPG,033,0,2,1,2,2,2,1,2,1,2,1,1
034_IMG__ (1).JPG,034,1,1,2,1,0,1,0,0,2,1,2,2
034_IMG__ (2).JPG,034,1,1,2,1,0,1,0,0,2,1,2,2
034_IMG__ (3).JPG,034,1,1,2,1,0,1,0,0,2,1,2,2
035_IMG__ (1).JPG,035,2,0,0,0,1,0,2,1,0,0,0,0
035_IMG__ (2).JPG,035,2,0,0,0,1,0,2,1,0,0,0,0
035_IMG__ (3).JPG,035,2,0,0,0,1,0,2,1,0,0,0,0
036_IMG__ (1).JPG,036,0,2,1,2,2,2,1,2,1,2,1,1
036_IMG__ (2).JPG,036,0,2,1,2,2,2,1,2,1,2,1,1
036_IMG__ (3).JPG,036,0,2,1,2,2,2,1,2,1,2,1,1
037_IMG__ (1).JPG,037,1,1,2,1,0,1,0,0,2,1,2,2
037_IMG__ (2).JPG,037,1,1,2,1,0,1,0,0,2,1,2,2
037_IMG__ (3).JPG,037,1,1,2,1,0,1,0,0,2,1,2,2
039_IMG__ (1).JPG,039,0,2,1,2,2,2,1,2,1,2,1,0
039_IMG__ (2).JPG,039,0,2,1,2,2,2,1,2,1,2,1,0
039_IMG__ (3).JPG,039,0,2,1,2,2,2,1,2,1,2,1,0
040_IMG__ (1).JPG,040,1,1,2,1,0,1,0,0,2,1,2,1
040_IMG__ (2).jpg,040,1,1,2,1,0,1,0,0,2,1,2,1
040_IMG__ (3).jpg,040,1,1,2,1,0,1,0,0,2,1,2,1
041_IMG__ (1).JPG,041,2,0,0,0,1,0,2,1,0,0,0,2
041_IMG__ (2).JPG,041,2,0,0,0,1,0,2,1,0,0,0,2
041_IMG__ (3).JPG,041,2,0,0,0,1,0,2,1,0,0,0,2
042_IMG__ (1).JPG,042,0,2,1,2,2,2,1,2,1,2,1,0
042_IMG__ (2).jpg,042,0,2,1,2,2,2,1,2,1,2,1,0
042_IMG__ (3).jpg,042,0,2,1,2,2,2,1,2,1,2,1,0
043_IMG__ (1).JPG,043,1,1,2,1,0,1,0,0,2,1,2,1
043_IMG__ (2).JPG,043,1,1,2,1,0,1,0,0,2,1,2,1
043_IMG__ (3).jpg,043,1,1,2,1,0,1,0,0,2,1,2,1
044_IMG__ (1).JPG,044,2,0,0,0,1,0,2,1,0,0,0,2
044_IMG__ (2).JPG,044,2,0,0,0,1,0,2,1,0,0,0,2
044_IMG__ (3).JPG,044,2,0,0,0,1,0,2,1,0,0,0,2
045_IMG__ (1).JPG,045,0,2,1,2,2,2,1,2,1,2,1,0
045_IMG__ (2).JPG,045,0,2,1,2,2,2,1,2,1,2,1,0
045_IMG__ (3).JPG,045,0,2,1,2,2,2,1,2,1,2,1,0
046_IMG__ (1).JPG,046,1,1,2,1,0,1,0,0,2,1,2,1
046_IMG__ (2).JPG,046,1,1,2,1,0,1,0,0,2,1,2,1
046_IMG__ (3).JPG,046,1,1,2,1,0,1,0,0,2,1,2,1
048_IMG__ (1).JPG,048,0,2,1,2,2,2,1,2,1,2,1,2
048_IMG__ (2).JPG,048,0,2,1,2,2,2,1,2,1,2,1,2
048_IMG__ (3).jpg,048,0,2,1,2,2,2,1,2,1,2,1,2
049_IMG__ (1).JPG,049,1,1,2,1,0,1,0,0,2,1,2,0
049_IMG__ (2).jpg,049,1,1,2,1,0,1,0,0,2,1,2,0
049_IMG__ (3).jpg,049,1,1,2,1,0,1,0,0,2,1,2,0
050_IMG__ (1).JPG,050,2,0,0,0,1,0,2,1,0,0,0,1
050_IMG__ (2).JPG,050,2,0,0,0,1,0,2,1,0,0,0,1
050_IMG__ (3).jpg,050,2,0,0,0,1,0,2,1,0,0,0,1
051_IMG__ (1).JPG,051,0,2,1,2,2,2,1,2,1,2,1,2
051_IMG__ (2).JPG,051,0,2,1,2,2,2,1,2,1,2,1,2
051_IMG__ (3).JPG,051,0,2,1,2,2,2,1,2,1,2,1,2
053_IMG__ (1).JPG,053,2,0,0,0,1,0,2,1,0,0,0,0
053_IMG__ (2).JPG,053,2,0,0,0,1,0,2,1,0,0,0,0
053_IMG__ (3).JPG,053,2,0,0,0,1,0,2,1,0,0,0,0
054_IMG__ (1).JPG,054,0,2,1,2,2,2,1,2,1,2,1,1
054_IMG__ (2).JPG,054,0,2,1,2,2,2,1,2,1,2,1,1
054_IMG__ (3).JPG,054,0,2,1,2,2,2,1,2,1,2,1,1
055_IMG__ (1).JPG,055,1,1,2,1,0,1,0,0,2,1,2,2
055_IMG__ (2).JPG,055,1,1,2,1,0,1,0,0,2,1,2,2
055_IMG__ (3).JPG,055,1,1,2,1,0,1,0,0,2,1,2,2
056_IMG__ (1).JPG,056,2,0,0,0,1,0,2,1,0,0,0,0
056_IMG__ (2).JPG,056,2,0,0,0,1,0,2,1,0,0,0,0
056_IMG__ (3).JPG,056,2,0,0,0,1,0,2,1,0,0,0,0
057_IMG__ (1).JPG,057,0,2,1,2,2,2,1,2,1,2,1,1
057_IMG__ (2).JPG,057,0,2,1,2,2,2,1,2,1,2,1,1
057_IMG__ (3).JPG,057,0,2,1,2,2,2,1,2,1,2,1,1
059_IMG__ (1).JPG,059,2,0,0,0,1,0,2,1,0,0,0,2
059_IMG__ (2).JPG,059,2,0,0,0,1,0,2,1,0,0,0,2
059_IMG__ (3).JPG,059,2,0,0,0,1,0,2,1,0,0,0,2
060_IMG__ (1).JPG,060,0,2,1,2,2,2,1,2,1,2,1,0
060_IMG__ (2).JPG,060,0,2,1,2,2,2,1,2,1,2,1,0
060_IMG__ (3).JPG,060,0,2,1,2,2,2,1,2,1,2,1,0
061_IMG__ (1).JPG,061,1,1,2,1,0,1,0,0,2,1,2,1
061_IMG__ (2).jpg,061,1,1,2,1,0,1,0,0,2,1,2,1
061_IMG__ (3).jpg,061,1,1,2,1,0,1,0,0,2,1,2,1
062_IMG__ (1).JPG,062,2,0,0,0,1,0,2,1,0,0,0,2
062_IMG__ (2).JPG,062,2,0,0,0,1,0,2,1,0,0,0,2
062_IMG__ (3).JPG,062,2,0,0,0,1,0,2,1,0,0,0,2
064_IMG__ (1).JPG,064,1,1,2,1,0,1,0,0,2,1,2,0
064_IMG__ (2).JPG,064,1,1,2,1,0,1,0,0,2,1,2,0
064_IMG__ (3).JPG,064,1,1,2,1,0,1,0,0,2,1,2,0
065_IMG__ (1).JPG,065,2,0,0,0,1,0,2,1,0,0,0,1
065_IMG__ (2).JPG,065,2,0,0,0,1,0,2,1,0,0,0,1
065_IMG__ (3).JPG,065,2,0,0,0,1,0,2,1,0,0,0,1
066_IMG__ (1).JPG,066,0,2,1,2,2,2,1,2,1,2,1,2
066_IMG__ (2).JPG,066,0,2,1,2,2,2,1,2,1,2,1,2
066_IMG__ (3).JPG,066,0,2,1,2,2,2,1,2,1,2,1,2
067_IMG__ (1).JPG,067,1,1,2,1,0,1,0,0,2,1,2,0
067_IMG__ (2).JPG,067,1,1,2,1,0,1,0,0,2,1,2,0
067_IMG__ (3).JPG,067,1,1,2,1,0,1,0,0,2,1,2,0
068_IMG__ (1).JPG,068,2,0,0,0,1,0,2,1,0,0,0,1
068_IMG__ (2).JPG,068,2,0,0,0,1,0,2,1,0,0,0,1
068_IMG__ (3).JPG,068,2,0,0,0,1,0,2,1,0,0,0,1
069_IMG__ (1).JPG,069,0,2,1,2,2,2,1,2,1,2,1,2
069_IMG__ (2).JPG,069,0,2,1,2,2,2,1,2,1,2,1,2
069_IMG__ (3).jpg,069,0,2,1,2,2,2,1,2,1,2,1,2
070_IMG__ (1).JPG,070,1,1,2,1,0,1,0,0,2,1,2,0
070_IMG__ (2).JPG,070,1,1,2,1,0,1,0,0,2,1,2,0
070_IMG__ (3).JPG,070,1,1,2,1,0,1,0,0,2,1,2,0
071_IMG__ (1).JPG,071,2,0,0,0,1,0,2,1,0,0,0,1
071_IMG__ (2).JPG,071,2,0,0,0,1,0,2,1,0,0,0,1
071_IMG__ (3).JPG,071,2,0,0,0,1,0,2,1,0,0,0,1
073_IMG__ (1).JPG,073,1,1,2,1,0,1,0,0,2,1,2,2
073_IMG__ (2).JPG,073,1,1,2,1,0,1,0,0,2,1,2,2
073_IMG__ (3).JPG,073,1,1,2,1,0,1,0,0,2,1,2,2
074_IMG__ (1).JPG,074,2,0,0,0,1,0,2,1,0,0,0,0
074_IMG__ (2).JPG,074,2,0,0,0,1,0,2,1,0,0,0,0
074_IMG__ (3).JPG,074,2,0,0,0,1,0,2,1,0,0,0,0
075_IMG__ (1).jpg,075,0,2,1,2,2,2,1,2,1,2,1,1
075_IMG__ (2).jpg,075,0,2,1,2,2,2,1,2,1,2,1,1
075_IMG__ (3).JPG,075,0,2,1,2,2,2,1,2,1,2,1,1
076_IMG__ (1).JPG,076,1,1,2,1,0,1,0,0,2,1,2,2
076_IMG__ (2).JPG,076,1,1,2,1,0,1,0,0,2,1,2,2
076_IMG__ (3).JPG,076,1,1,2,1,0,1,0,0,2,1,2,2
077_IMG__ (1).JPG,077,2,0,0,0,1,0,2,1,0,0,0,0
077_IMG__ (2).JPG,077,2,0,0,0,1,0,2,1,0,0,0,0
077_IMG__ (3).JPG,077,2,0,0,0,1,0,2,1,0,0,0,0
080_IMG__ (1).JPG,080,2,0,0,0,1,0,2,1,0,0,0,1
080_IMG__ (2).JPG,080,2,0,0,0,1,0,2,1,0,0,0,1
080_IMG__ (3).JPG,080,2,0,0,0,1,0,2,1,0,0,0,1
081_IMG__ (1).JPG,081,0,2,1,2,2,2,1,2,1,2,1,2
081_IMG__ (2).JPG,081,0,2,1,2,2,2,1,2,1,2,1,2
081_IMG__ (3).JPG,081,0,2,1,2,2,2,1,2,1,2,1,2
082_IMG__ (1).JPG,082,1,1,2,1,0,1,0,0,2,1,2,0
082_IMG__ (2).jpg,082,1,1,2,1,0,1,0,0,2,1,2,0
082_IMG__ (3).JPG,082,1,1,2,1,0,1,0,0,2,1,2,0
083_IMG__ (1).JPG,083,2,0,0,0,1,0,2,1,0,0,0,1
083_IMG__ (2).jpg,083,2,0,0,0,1,0,2,1,0,0,0,1
083_IMG__ (3).jpg,083,2,0,0,0,1,0,2,1,0,0,0,1
085_IMG__ (1).JPG,085,1,1,2,1,0,1,0,0,2,1,2,2
085_IMG__ (2).JPG,085,1,1,2,1,0,1,0,0,2,1,2,2
085_IMG__ (3).JPG,085,1,1,2,1,0,1,0,0,2,1,2,2
087_IMG__ (1).JPG,087,0,2,1,2,2,2,1,2,1,2,1,0
087_IMG__ (2).JPG,087,0,2,1,2,2,2,1,2,1,2,1,0
087_IMG__ (3).JPG,087,0,2,1,2,2,2,1,2,1,2,1,0
088_IMG__ (1).JPG,088,1,1,2,1,0,1,0,0,2,1,2,1
088_IMG__ (2).JPG,088,1,1,2,1,0,1,0,0,2,1,2,1
088_IMG__ (3).JPG,088,1,1,2,1,0,1,0,0,2,1,2,1
089_IMG__ (1).JPG,089,2,0,0,0,1,0,2,1,0,0,0,2
089_IMG__ (2).JPG,089,2,0,0,0,1,0,2,1,0,0,0,2
089_IMG__ (3).JPG,089,2,0,0,0,1,0,2,1,0,0,0,2
090_IMG__ (1).JPG,090,0,2,1,2,2,2,1,2,1,2,1,0
090_IMG__ (2).JPG,090,0,2,1,2,2,2,1,2,1,2,1,0
090_IMG__ (3).JPG,090,0,2,1,2,2,2,1,2,1,2,1,0
091_IMG__ (1).jpg,091,1,1,2,1,0,1,0,0,2,1,2,1
091_IMG__ (2).jpg,091,1,1,2,1,0,1,0,0,2,1,2,1
091_IMG__ (3).jpg,091,1,1,2,1,0,1,0,0,2,1,2,1
092_IMG__ (1).JPG,092,2,0,0,0,1,0,2,1,0,0,0,2
092_IMG__ (2).JPG,092,2,0,0,0,1,0,2,1,0,0,0,2
092_IMG__ (3).JPG,092,2,0,0,0,1,0,2,1,0,0,0,2
094_IMG__ (1).JPG,094,1,1,2,1,0,1,0,0,2,1,2,0
094_IMG__ (2).JPG,094,1,1,2,1,0,1,0,0,2,1,2,0
094_IMG__ (3).JPG,094,1,1,2,1,0,1,0,0,2,1,2,0
096_IMG__ (1).JPG,096,0,2,1,2,2,2,1,2,1,2,1,1
096_IMG__ (2).JPG,096,0,2,1,2,2,2,1,2,1,2,1,1
096_IMG__ (3).JPG,096,0,2,1,2,2,2,1,2,1,2,1,1
097_IMG__ (1).JPG,097,1,1,2,1,0,1,0,0,2,1,2,2
097_IMG__ (2).JPG,097,1,1,2,1,0,1,0,0,2,1,2,2
097_IMG__ (3).JPG,097,1,1,2,1,0,1,0,0,2,1,2,2
099_IMG__(1).JPG,099,0,2,1,2,2,2,1,2,1,2,1,0
099_IMG__(2).JPG,099,0,2,1,2,2,2,1,2,1,2,1,0
099_IMG__(3).JPG,099,0,2,1,2,2,2,1,2,1,2,1,0
100_IMG__(1).JPG,100,1,1,2,1,0,1,0,0,2,1,2,1
100_IMG__(2).JPG,100,1,1,2,1,0,1,0,0,2,1,2,1
100_IMG__(3).JPG,100,1,1,2,1,0,1,0,0,2,1,2,1
102_IMG__(1).JPG,102,0,2,1,2,2,2,1,2,1,2,1,2
102_IMG__(2).JPG,102,0,2,1,2,2,2,1,2,1,2,1,2
102_IMG__(3).JPG,102,0,2,1,2,2,2,1,2,1,2,1,2
104_IMG__(1).JPG,104,2,0,0,0,1,0,2,1,0,0,0,0
104_IMG__(2).JPG,104,2,0,0,0,1,0,2,1,0,0,0,0
104_IMG__(3).JPG,104,2,0,0,0,1,0,2,1,0,0,0,0
105_IMG__(1).JPG,105,0,2,1,2,2,2,1,2,1,2,1,1
105_IMG__(2).JPG,105,0,2,1,2,2,2,1,2,1,2,1,1
105_IMG__(3).JPG,105,0,2,1,2,2,2,1,2,1,2,1,1
108_IMG__(1).JPG,108,0,2,1,2,2,2,1,2,1,2,1,2
108_IMG__(2).JPG,108,0,2,1,2,2,2,1,2,1,2,1,2
108_IMG__(3).JPG,108,0,2,1,2,2,2,1,2,1,2,1,2
109_IMG__(1).JPG,109,1,1,2,1,0,1,0,0,2,1,2,0
109_IMG__(2).JPG,109,1,1,2,1,0,1,0,0,2,1,2,0
109_IMG__(3).JPG,109,1,1,2,1,0,1,0,0,2,1,2,0
110_IMG__(1).JPG,110,2,0,0,0,1,0,2,1,0,0,0,1
110_IMG__(2).JPG,110,2,0,0,0,1,0,2,1,0,0,0,1
110_IMG__(3).JPG,110,2,0,0,0,1,0,2,1,0,0,0,1
116_IMG__(1).JPG,116,2,0,0,0,1,0,2,1,0,0,0,2
116_IMG__(2).JPG,116,2,0,0,0,1,0,2,1,0,0,0,2
116_IMG__(3).JPG,116,2,0,0,0,1,0,2,1,0,0,0,2
117_IMG__(1).JPG,117,0,2,1,2,2,2,1,2,1,2,1,0
117_IMG__(2).JPG,117,0,2,1,2,2,2,1,2,1,2,1,0
117_IMG__(3).JPG,117,0,2,1,2,2,2,1,2,1,2,1,0
118_IMG__(1).JPG,118,1,1,2,1,0,1,0,0,2,1,2,1
118_IMG__(2).JPG,118,1,1,2,1,0,1,0,0,2,1,2,1
118_IMG__(3).JPG,118,1,1,2,1,0,1,0,0,2,1,2,1
119_IMG__(1).JPG,119,2,0,0,0,1,0,2,1,0,0,0,2
119_IMG__(2).JPG,119,2,0,0,0,1,0,2,1,0,0,0,2
119_IMG__(3).JPG,119,2,0,0,0,1,0,2,1,0,0,0,2
120_IMG__(1).JPG,120,0,2,1,2,2,2,1,2,1,2,1,0
120_IMG__(2).JPG,120,0,2,1,2,2,2,1,2,1,2,1,0
120_IMG__(3).JPG,120,0,2,1,2,2,2,1,2,1,2,1,0
122_IMG__(1).JPG,122,2,0,0,0,1,0,2,1,0,0,0,1
122_IMG__(2).JPG,122,2,0,0,0,1,0,2,1,0,0,0,1
122_IMG__(3).JPG,122,2,0,0,0,1,0,2,1,0,0,0,1
123_IMG__(1).JPG,123,0,2,1,2,2,2,1,2,1,2,1,2
123_IMG__(2).JPG,123,0,2,1,2,2,2,1,2,1,2,1,2
123_IMG__(3).JPG,123,0,2,1,2,2,2,1,2,1,2,1,2
124_IMG__(1).JPG,124,1,1,2,1,0,1,0,0,2,1,2,0
124_IMG__(2).JPG,124,1,1,2,1,0,1,0,0,2,1,2,0
124_IMG__(3).JPG,124,1,1,2,1,0,1,0,0,2,1,2,0
127_IMG__(1).JPG,127,1,1,2,1,0,1,0,0,2,1,2,1
127_IMG__(2).JPG,127,1,1,2,1,0,1,0,0,2,1,2,1
127_IMG__(3).JPG,127,1,1,2,1,0,1,0,0,2,1,2,1
131_IMG__(1).JPG,131,2,0,0,0,1,0,2,1,0,0,0,2
131_IMG__(2).JPG,131,2,0,0,0,1,0,2,1,0,0,0,2
131_IMG__(3).JPG,131,2,0,0,0,1,0,2,1,0,0,0,2
134_IMG__(1).JPG,134,2,0,0,0,1,0,2,1,0,0,0,0
134_IMG__(2).JPG,134,2,0,0,0,1,0,2,1,0,0,0,0
134_IMG__(3).JPG,134,2,0,0,0,1,0,2,1,0,0,0,0
136_IMG__(1).JPG,136,1,1,2,1,0,1,0,0,2,1,2,1
136_IMG__(2).JPG,136,1,1,2,1,0,1,0,0,2,1,2,1
136_IMG__(3).JPG,136,1,1,2,1,0,1,0,0,2,1,2,1
137_IMG__(1).JPG,137,2,0,0,0,1,0,2,1,0,0,0,2
137_IMG__(2).JPG,137,2,0,0,0,1,0,2,1,0,0,0,2
137_IMG__(3).JPG,137,2,0,0,0,1,0,2,1,0,0,0,2
138_IMG__(1).JPG,138,0,2,1,2,2,2,1,2,1,2,1,0
138_IMG__(2).JPG,138,0,2,1,2,2,2,1,2,1,2,1,0
138_IMG__(3).JPG,138,0,2,1,2,2,2,1,2,1,2,1,0
139_IMG__(1).JPG,139,1,1,2,1,0,1,0,0,2,1,2,1
139_IMG__(2).JPG,139,1,1,2,1,0,1,0,0,2,1,2,1
139_IMG__(3).JPG,139,1,1,2,1,0,1,0,0,2,1,2,1
140_IMG__(1).JPG,140,2,0,0,0,1,0,2,1,0,0,0,2
140_IMG__(2).JPG,140,2,0,0,0,1,0,2,1,0,0,0,2
140_IMG__(3).JPG,140,2,0,0,0,1,0,2,1,0,0,0,2
142_IMG__(1).JPG,142,1,1,2,1,0,1,0,0,2,1,2,0
142_IMG__(2).JPG,142,1,1,2,1,0,1,0,0,2,1,2,0
142_IMG__(3).JPG,142,1,1,2,1,0,1,0,0,2,1,2,0
143_IMG__(1).JPG,143,2,0,0,0,1,0,2,1,0,0,0,1
143_IMG__(2).JPG,143,2,0,0,0,1,0,2,1,0,0,0,1
143_IMG__(3).JPG,143,2,0,0,0,1,0,2,1,0,0,0,1
144_IMG__(1).JPG,144,0,2,1,2,2,2,1,2,1,2,1,2
144_IMG__(2).JPG,144,0,2,1,2,2,2,1,2,1,2,1,2
144_IMG__(3).JPG,144,0,2,1,2,2,2,1,2,1,2,1,2
146_IMG__(1).JPG,146,2,0,0,0,1,0,2,1,0,0,0,0
146_IMG__(2).JPG,146,2,0,0,0,1,0,2,1,0,0,0,0
146_IMG__(3).JPG,146,2,0,0,0,1,0,2,1,0,0,0,0
147_IMG__(1).JPG,147,0,2,1,2,2,2,1,2,1,2,1,1
147_IMG__(2).JPG,147,0,2,1,2,2,2,1,2,1,2,1,1
147_IMG__(3).JPG,147,0,2,1,2,2,2,1,2,1,2,1,1
152_IMG__(1).JPG,152,2,0,0,0,1,0,2,1,0,0,0,2
152_IMG__(2).JPG,152,2,0,0,0,1,0,2,1,0,0,0,2
152_IMG__(3).JPG,152,2,0,0,0,1,0,2,1,0,0,0,2
153_IMG__(1).JPG,153,0,2,1,2,2,2,1,2,1,2,1,0
153_IMG__(2).JPG,153,0,2,1,2,2,2,1,2,1,2,1,0
153_IMG__(3).JPG,153,0,2,1,2,2,2,1,2,1,2,1,0
154_IMG__(1).JPG,154,1,1,2,1,0,1,0,0,2,1,2,1
154_IMG__(2).JPG,154,1,1,2,1,0,1,0,0,2,1,2,1
154_IMG__(3).JPG,154,1,1,2,1,0,1,0,0,2,1,2,1
155_IMG__(1).JPG,155,2,0,0,0,1,0,2,1,0,0,0,2
155_IMG__(2).JPG,155,2,0,0,0,1,0,2,1,0,0,0,2
155_IMG__(3).JPG,155,2,0,0,0,1,0,2,1,0,0,0,2
156_IMG__(1).JPG,156,0,2,1,2,2,2,1,2,1,2,1,0
156_IMG__(2).JPG,156,0,2,1,2,2,2,1,2,1,2,1,0
156_IMG__(3).JPG,156,0,2,1,2,2,2,1,2,1,2,1,0
157_IMG__(1).JPG,157,1,1,2,1,0,1,0,0,2,1,2,1
157_IMG__(2).JPG,157,1,1,2,1,0,1,0,0,2,1,2,1
157_IMG__(3).JPG,157,1,1,2,1,0,1,0,0,2,1,2,1
